movie_name,movie_director,movie_year,movie_rank,critic_name,critic_org,critic_cn
Tabu,Miguel Gomes,2012,7,Thelma Adams,Freelance film critic,US
Snow White,Pablo Berger,2012,8,Thelma Adams,Freelance film critic,US
Frozen River,Courtney Hunt,2008,9,Thelma Adams,Freelance film critic,US
Gosford Park,Robert Altman,2001,10,Thelma Adams,Freelance film critic,US
In the Mood for Love,Wong Kar-wai,2000,1,Arturo Aguilar,Rolling Stone Mexico,Mexico
Mulholland Drive,David Lynch,2001,2,Arturo Aguilar,Rolling Stone Mexico,Mexico
Inception,Christopher Nolan,2010,3,Arturo Aguilar,Rolling Stone Mexico,Mexico
Pan's Labyrinth,Guillermo Del Toro,2006,4,Arturo Aguilar,Rolling Stone Mexico,Mexico
Caché,Michael Haneke,2005,5,Arturo Aguilar,Rolling Stone Mexico,Mexico
Grizzly Man,Werner Herzog,2005,6,Arturo Aguilar,Rolling Stone Mexico,Mexico
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,7,Arturo Aguilar,Rolling Stone Mexico,Mexico
Holy Motors,Leos Carax,2012,8,Arturo Aguilar,Rolling Stone Mexico,Mexico
The Last of the Unjust,Claude Lanzmann,2013,9,Arturo Aguilar,Rolling Stone Mexico,Mexico
There Will Be Blood,Paul Thomas Anderson,2007,10,Arturo Aguilar,Rolling Stone Mexico,Mexico
The Piano Teacher,Michael Haneke,2001,1,Matthew Anderson,BBC Culture,UK
Margaret,Kenneth Lonergan,2011,2,Matthew Anderson,BBC Culture,UK
American Psycho,Mary Harron,2000,3,Matthew Anderson,BBC Culture,UK
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,4,Matthew Anderson,BBC Culture,UK
Caché,Michael Haneke,2005,5,Matthew Anderson,BBC Culture,UK
Mulholland Drive,David Lynch,2001,6,Matthew Anderson,BBC Culture,UK
Lourdes,Jessica Hausner,2009,7,Matthew Anderson,BBC Culture,UK
Red Road,Andrea Arnold,2006,8,Matthew Anderson,BBC Culture,UK
Boyhood,Richard Linklater,2014,9,Matthew Anderson,BBC Culture,UK
Tony Manero,Pablo Larraín,2008,10,Matthew Anderson,BBC Culture,UK
No Country For Old Men,Joel and Ethan Coen,2007,1,Tim Appelo,The Wrap,US
Spirited Away,Hayao Miyazaki,2001,2,Tim Appelo,The Wrap,US
A Separation,Asghar Farhadi,2011,3,Tim Appelo,The Wrap,US
Pan's Labyrinth,Guillermo Del Toro,2006,4,Tim Appelo,The Wrap,US
Finding Nemo,Andrew Stanton and Lee Unkrich,2003,5,Tim Appelo,The Wrap,US
Hero,Zhang Yimou,2002,6,Tim Appelo,The Wrap,US
The Wolf of Wall Street,Martin Scorsese,2013,7,Tim Appelo,The Wrap,US
Mother,Bong Joon-ho,2009,8,Tim Appelo,The Wrap,US
The Bourne Ultimatum,Paul Greengrass,2007,9,Tim Appelo,The Wrap,US
Traffic,Steven Soderbergh,2000,10,Tim Appelo,The Wrap,US
These Encounters of Theirs,Danièle Huillet and Jean-Marie Straub,2006,1,Adriano Aprà,Film historian,Italy
Vincere,Marco Bellocchio,2009,2,Adriano Aprà,Film historian,Italy
Le quattro volte,Michelangelo Frammartino,2010,3,Adriano Aprà,Film historian,Italy
The Profession of Arms,Ermanno Olmi,2001,4,Adriano Aprà,Film historian,Italy
Gostanza da Libbiano,Paolo Benvenuti,2000,5,Adriano Aprà,Film historian,Italy
Storia di una donna amata e di un assassino gentile,Luigi M. Faccini,2009,6,Adriano Aprà,Film historian,Italy
At the First Breath of Wind,Franco Piavoli,2003,7,Adriano Aprà,Film historian,Italy
Sangue,Pippo Delbono,2013,8,Adriano Aprà,Film historian,Italy
Terra,Marco De Angelis and Antonio Di Trapani,2015,9,Adriano Aprà,Film historian,Italy
Oh! Man,Yervant Gianikian and Angela Ricci Lucchi,2004,10,Adriano Aprà,Film historian,Italy
"Synecdoche, New York",Charlie Kaufman,2008,1,Michael Arbeiter,Nerdist,US
Mulholland Drive,David Lynch,2001,2,Michael Arbeiter,Nerdist,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,3,Michael Arbeiter,Nerdist,US
Black Swan,Darren Aronofsky,2010,4,Michael Arbeiter,Nerdist,US
The Comedy,Rick Alverson,2012,5,Michael Arbeiter,Nerdist,US
Melancholia,Lars von Trier,2011,6,Michael Arbeiter,Nerdist,US
Inglourious Basterds,Quentin Tarantino,2009,7,Michael Arbeiter,Nerdist,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,8,Michael Arbeiter,Nerdist,US
Only Lovers Left Alive,Jim Jarmusch,2013,9,Michael Arbeiter,Nerdist,US
The Congress,Ari Folman,2013,10,Michael Arbeiter,Nerdist,US
The Master,Paul Thomas Anderson,2012,1,Ali Arikan,Dipnot TV,Turkey
25th Hour,Spike Lee,2002,2,Ali Arikan,Dipnot TV,Turkey
24 Hour Party People,Michael Winterbottom,2002,3,Ali Arikan,Dipnot TV,Turkey
Mulholland Drive,David Lynch,2001,4,Ali Arikan,Dipnot TV,Turkey
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,5,Ali Arikan,Dipnot TV,Turkey
Zodiac,David Fincher,2007,6,Ali Arikan,Dipnot TV,Turkey
A Serious Man,Joel and Ethan Coen,2009,7,Ali Arikan,Dipnot TV,Turkey
Tinker Tailor Soldier Spy,Tomas Alfredson,2011,8,Ali Arikan,Dipnot TV,Turkey
Primer,Shane Carruth,2004,9,Ali Arikan,Dipnot TV,Turkey
In the Mood for Love,Wong Kar-wai,2000,10,Ali Arikan,Dipnot TV,Turkey
La commune (Paris 1871),Peter Watkins,1871,1,Michael Atkinson,The Village Voice,US
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,2,Michael Atkinson,The Village Voice,US
2046,Wong Kar-wai,2004,3,Michael Atkinson,The Village Voice,US
Adaptation,Spike Jonze,2002,4,Michael Atkinson,The Village Voice,US
Battle in Heaven,Carlos Reygadas,2005,5,Michael Atkinson,The Village Voice,US
Caché,Michael Haneke,2005,6,Michael Atkinson,The Village Voice,US
Inland Empire,David Lynch,2006,7,Michael Atkinson,The Village Voice,US
Mulholland Drive,David Lynch,2001,8,Michael Atkinson,The Village Voice,US
Mysteries of Lisbon,Raoul Ruiz,2010,9,Michael Atkinson,The Village Voice,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,10,Michael Atkinson,The Village Voice,US
There Will Be Blood,Paul Thomas Anderson,2007,1,Ana Maria Bahiana,Freelance film critic,Brazil
Mulholland Drive,David Lynch,2001,2,Ana Maria Bahiana,Freelance film critic,Brazil
Children of Men,Alfonso Cuarón,2006,3,Ana Maria Bahiana,Freelance film critic,Brazil
City of God,Fernando Meirelles and Kátia Lund,2002,4,Ana Maria Bahiana,Freelance film critic,Brazil
Pan's Labyrinth,Guillermo Del Toro,2006,5,Ana Maria Bahiana,Freelance film critic,Brazil
Inception,Christopher Nolan,2010,6,Ana Maria Bahiana,Freelance film critic,Brazil
The Incredibles,Brad Bird,2004,7,Ana Maria Bahiana,Freelance film critic,Brazil
Birdman,Alejandro González Iñárritu,2014,8,Ana Maria Bahiana,Freelance film critic,Brazil
No Country For Old Men,Joel and Ethan Coen,2007,9,Ana Maria Bahiana,Freelance film critic,Brazil
Brokeback Mountain,Ang Lee,2005,10,Ana Maria Bahiana,Freelance film critic,Brazil
In the Mood for Love,Wong Kar-wai,2000,1,Cameron Bailey,Toronto Film Festival,Canada
12 Years a Slave,Steve McQueen,2013,2,Cameron Bailey,Toronto Film Festival,Canada
Spirited Away,Hayao Miyazaki,2001,3,Cameron Bailey,Toronto Film Festival,Canada
Fish Tank,Andrea Arnold,2009,4,Cameron Bailey,Toronto Film Festival,Canada
Mommy,Xavier Dolan,2014,5,Cameron Bailey,Toronto Film Festival,Canada
Talk to Her,Pedro Almodóvar,2002,6,Cameron Bailey,Toronto Film Festival,Canada
Timbuktu,Abderrahmane Sissako,2014,7,Cameron Bailey,Toronto Film Festival,Canada
Selma,Ava DuVernay,2014,8,Cameron Bailey,Toronto Film Festival,Canada
The White Ribbon,Michael Haneke,2009,9,Cameron Bailey,Toronto Film Festival,Canada
The Headless Woman,Lucrecia Martel,2008,10,Cameron Bailey,Toronto Film Festival,Canada
The Royal Tenenbaums,Wes Anderson,2001,1,Lindsay Baker,BBC Culture,UK
Far From Heaven,Todd Haynes,2002,2,Lindsay Baker,BBC Culture,UK
Moonrise Kingdom,Wes Anderson,2012,3,Lindsay Baker,BBC Culture,UK
Lost in Translation,Sofia Coppola,2003,4,Lindsay Baker,BBC Culture,UK
A Single Man,Tom Ford,2009,5,Lindsay Baker,BBC Culture,UK
Spirited Away,Hayao Miyazaki,2001,6,Lindsay Baker,BBC Culture,UK
Toy Story 3,Lee Unkrich,2010,7,Lindsay Baker,BBC Culture,UK
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,8,Lindsay Baker,BBC Culture,UK
I Am Love,Luca Guadagnino,2009,9,Lindsay Baker,BBC Culture,UK
Donnie Darko,Richard Kelly,2001,10,Lindsay Baker,BBC Culture,UK
Inherent Vice,Paul Thomas Anderson,2014,1,Miriam Bale,Freelance film critic,US
Film socialisme,Jean-Luc Godard,2010,2,Miriam Bale,Freelance film critic,US
A History of Violence,David Cronenberg,2005,3,Miriam Bale,Freelance film critic,US
This Is the End,Evan Goldberg and Seth Rogen,2013,4,Miriam Bale,Freelance film critic,US
Somewhere,Sofia Coppola,2010,5,Miriam Bale,Freelance film critic,US
Holy Motors,Leos Carax,2012,6,Miriam Bale,Freelance film critic,US
Almayer's Folly,Chantal Akerman,2011,7,Miriam Bale,Freelance film critic,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,8,Miriam Bale,Freelance film critic,US
The Story of Marie and Julien,Jacques Rivette,2003,9,Miriam Bale,Freelance film critic,US
Bamboozled,Spike Lee,2000,10,Miriam Bale,Freelance film critic,US
Boyhood,Richard Linklater,2014,1,Nicholas Barber,BBC Culture,UK
Under the Skin,Jonathan Glazer,2013,2,Nicholas Barber,BBC Culture,UK
Anomalisa,Duke Johnson and Charlie Kaufman,2015,3,Nicholas Barber,BBC Culture,UK
12 Years a Slave,Steve McQueen,2013,4,Nicholas Barber,BBC Culture,UK
Madagascar 3: Europe's Most Wanted,"Eric Darnell, Tom McGrath and Conrad Vernon",2012,5,Nicholas Barber,BBC Culture,UK
Another Year,Mike Leigh,2010,6,Nicholas Barber,BBC Culture,UK
The Diving Bell and the Butterfly,Julian Schnabel,2007,7,Nicholas Barber,BBC Culture,UK
Children of Men,Alfonso Cuarón,2006,8,Nicholas Barber,BBC Culture,UK
The Social Network,David Fincher,2010,9,Nicholas Barber,BBC Culture,UK
A Separation,Asghar Farhadi,2011,10,Nicholas Barber,BBC Culture,UK
WALL-E,Andrew Stanton,2008,1,Diego Batlle,La Nacion,Argentina
In the Mood for Love,Wong Kar-wai,2000,2,Diego Batlle,La Nacion,Argentina
Spirited Away,Hayao Miyazaki,2001,3,Diego Batlle,La Nacion,Argentina
Boyhood,Richard Linklater,2014,4,Diego Batlle,La Nacion,Argentina
The Son's Room,Nanni Moretti,2001,5,Diego Batlle,La Nacion,Argentina
Extraordinary Stories,Mariano Llinás,2008,6,Diego Batlle,La Nacion,Argentina
Mulholland Drive,David Lynch,2001,7,Diego Batlle,La Nacion,Argentina
The Social Network,David Fincher,2010,8,Diego Batlle,La Nacion,Argentina
Elephant,Gus Van Sant,2003,9,Diego Batlle,La Nacion,Argentina
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,10,Diego Batlle,La Nacion,Argentina
Mulholland Drive,David Lynch,2001,1,NT Binh,Positif,France
Talk to Her,Pedro Almodóvar,2002,2,NT Binh,Positif,France
The Assassin,Hou Hsiao-hsien,2015,3,NT Binh,Positif,France
Million Dollar Baby,Clint Eastwood,2004,4,NT Binh,Positif,France
In the Mood for Love,Wong Kar-wai,2000,5,NT Binh,Positif,France
Leviathan,Andrey Zvyagintsev,2014,6,NT Binh,Positif,France
A Touch of Sin,Jia Zhangke,2013,7,NT Binh,Positif,France
Distant,Nuri Bilge Ceylan,2002,8,NT Binh,Positif,France
The New World,Terrence Malick,2005,9,NT Binh,Positif,France
A Prophet,Jacques Audiard,2009,10,NT Binh,Positif,France
Timbuktu,Abderrahmane Sissako,2014,1,Lizelle Bisschoff,University of Glasgow,UK
Blue Is the Warmest Color,Abdellatif Kechiche,2013,2,Lizelle Bisschoff,University of Glasgow,UK
Moolaadé,Ousmane Sembèène,2004,3,Lizelle Bisschoff,University of Glasgow,UK
A Separation,Asghar Farhadi,2011,4,Lizelle Bisschoff,University of Glasgow,UK
The Secret in Their Eyes,Juan José Campanella,2009,5,Lizelle Bisschoff,University of Glasgow,UK
Oldboy,Park Chan-wook,2003,6,Lizelle Bisschoff,University of Glasgow,UK
In the Mood for Love,Wong Kar-wai,2000,7,Lizelle Bisschoff,University of Glasgow,UK
Fat Girl,Catherine Breillat,2001,8,Lizelle Bisschoff,University of Glasgow,UK
The Orphanage,J. A. Bayona,2007,9,Lizelle Bisschoff,University of Glasgow,UK
The Hunt,Thomas Vinterberg,2012,10,Lizelle Bisschoff,University of Glasgow,UK
Spring Breakers,Harmony Korine,2012,1,Christian Blauvelt,BBC Culture,US
My Winnipeg,Guy Maddin,2007,2,Christian Blauvelt,BBC Culture,US
The Ghost Writer,Roman Polanski,2010,3,Christian Blauvelt,BBC Culture,US
Moulin Rouge!,Baz Luhrmann,2001,4,Christian Blauvelt,BBC Culture,US
Star Wars: Episode III – Revenge of the Sith,George Lucas,2005,5,Christian Blauvelt,BBC Culture,US
Manakamana,Pacho Velez and Stephanie Spray,2013,6,Christian Blauvelt,BBC Culture,US
The Curious Case of Benjamin Button,David Fincher,2008,7,Christian Blauvelt,BBC Culture,US
"You, The Living",Roy Andersson,2007,8,Christian Blauvelt,BBC Culture,US
Mother,Bong Joon-ho,2009,9,Christian Blauvelt,BBC Culture,US
A Serious Man,Joel and Ethan Coen,2009,10,Christian Blauvelt,BBC Culture,US
Moolaadé,Ousmane Sembène,2004,1,Mahen Bonetti,African Film Festival Inc,US
Timbuktu,Abderrahmane Sissako,2014,2,Mahen Bonetti,African Film Festival Inc,US
Cuba: An African Odyssey,Jihan El-Tahri,2007,3,Mahen Bonetti,African Film Festival Inc,US
"Sexe, gombo et beurre salé",Mahamat-Saleh Haroun,2008,4,Mahen Bonetti,African Film Festival Inc,US
Shoot the Messenger,Ngozi Onwurah,2006,5,Mahen Bonetti,African Film Festival Inc,US
Red Leaves,Bazi Gete,2014,6,Mahen Bonetti,African Film Festival Inc,US
The Colonial Misunderstanding,Jean-Marie Téno,2004,7,Mahen Bonetti,African Film Festival Inc,US
Restless City,Andrew Dosunmu,2011,8,Mahen Bonetti,African Film Festival Inc,US
Conversations on a Sunday Afternoon,Khalo Matabane,2005,9,Mahen Bonetti,African Film Festival Inc,US
Belle,Amma Asante,2013,10,Mahen Bonetti,African Film Festival Inc,US
Requiem for a Dream,Darren Aronofsky,2000,1,Andreas Borcholte,Spiegel Online,Germany
Antichrist,Lars von Trier,2009,2,Andreas Borcholte,Spiegel Online,Germany
Children of Men,Alfonso Cuarón,2006,3,Andreas Borcholte,Spiegel Online,Germany
The Child,Jean-Pierre and Luc Dardenne,2005,4,Andreas Borcholte,Spiegel Online,Germany
No Country For Old Men,Joel and Ethan Coen,2007,5,Andreas Borcholte,Spiegel Online,Germany
Fish Tank,Andrea Arnold,2009,6,Andreas Borcholte,Spiegel Online,Germany
The Tree of Life,Terrence Malick,2011,7,Andreas Borcholte,Spiegel Online,Germany
Inception,Christopher Nolan,2010,8,Andreas Borcholte,Spiegel Online,Germany
Kill Bill: Vol. 1,Quentin Tarantino,2003,9,Andreas Borcholte,Spiegel Online,Germany
Irreversible,Gaspar Noé,2002,10,Andreas Borcholte,Spiegel Online,Germany
Amour,Michael Haneke,2012,1,Utpal Borpujari,Freelance film critic,India
A Separation,Asghar Farhadi,2011,2,Utpal Borpujari,Freelance film critic,India
In the Mood for Love,Wong Kar-wai,2000,3,Utpal Borpujari,Freelance film critic,India
A Prophet,Jacques Audiard,2009,4,Utpal Borpujari,Freelance film critic,India
Monsoon Wedding,Mira Nair,2001,5,Utpal Borpujari,Freelance film critic,India
Son of Saul,László Nemes,2015,6,Utpal Borpujari,Freelance film critic,India
Thithi,Raam Reddy,2015,7,Utpal Borpujari,Freelance film critic,India
Blue Is the Warmest Color,Abdellatif Kechiche,2013,8,Utpal Borpujari,Freelance film critic,India
No Man's Land,Danis Tanovic,2001,9,Utpal Borpujari,Freelance film critic,India
Waltz with Bashir,Ari Folman,2008,10,Utpal Borpujari,Freelance film critic,India
In Praise of Love,Jean-Luc Godard,2001,1,Richard Brody,The New Yorker,US
The Wolf of Wall Street,Martin Scorsese,2013,2,Richard Brody,The New Yorker,US
The Last of the Unjust,Claude Lanzmann,2013,3,Richard Brody,The New Yorker,US
Like Someone In Love,Abbas Kiarostami,2012,4,Richard Brody,The New Yorker,US
The Grand Budapest Hotel,Wes Anderson,2014,5,Richard Brody,The New Yorker,US
Butter on the Latch,Josephine Decker,2013,6,Richard Brody,The New Yorker,US
Heaven Knows What,Josh and Benny Safdie,2014,7,Richard Brody,The New Yorker,US
The Future,Miranda July,2011,8,Richard Brody,The New Yorker,US
Holy Motors,Leos Carax,2012,9,Richard Brody,The New Yorker,US
Coma,Sara Fattahi,2015,10,Richard Brody,The New Yorker,US
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,1,Hannah Brown,Jerusalem Post,Israel
The Royal Tenenbaums,Wes Anderson,2001,2,Hannah Brown,Jerusalem Post,Israel
No Country For Old Men,Joel and Ethan Coen,2007,3,Hannah Brown,Jerusalem Post,Israel
Waltz with Bashir,Ari Folman,2008,4,Hannah Brown,Jerusalem Post,Israel
The Matchmaker,Avi Nesher,2010,5,Hannah Brown,Jerusalem Post,Israel
Footnote,Joseph Cedar,2011,6,Hannah Brown,Jerusalem Post,Israel
The Son,Jean-Pierre and Luc Dardenne,2002,7,Hannah Brown,Jerusalem Post,Israel
In the Mood for Love,Wong Kar-wai,2000,8,Hannah Brown,Jerusalem Post,Israel
You Can Count On Me,Kenneth Lonergan,2000,9,Hannah Brown,Jerusalem Post,Israel
Yossi & Jagger,Eytan Fox,2002,10,Hannah Brown,Jerusalem Post,Israel
Mulholland Drive,David Lynch,2001,1,Luke Buckmaster,The Guardian/BBC Culture,Australia
There Will Be Blood,Paul Thomas Anderson,2007,2,Luke Buckmaster,The Guardian/BBC Culture,Australia
"O Brother, Where Art Thou?",Joel and Ethan Coen,2000,3,Luke Buckmaster,The Guardian/BBC Culture,Australia
Spirited Away,Hayao Miyazaki,2001,4,Luke Buckmaster,The Guardian/BBC Culture,Australia
Children of Men,Alfonso Cuarón,2006,5,Luke Buckmaster,The Guardian/BBC Culture,Australia
In the Mood for Love,Wong Kar-wai,2000,6,Luke Buckmaster,The Guardian/BBC Culture,Australia
The Babadook,Jennifer Kent,2014,7,Luke Buckmaster,The Guardian/BBC Culture,Australia
A Separation,Asghar Farhadi,2011,8,Luke Buckmaster,The Guardian/BBC Culture,Australia
Caché,Michael Haneke,2005,9,Luke Buckmaster,The Guardian/BBC Culture,Australia
Boyhood,Richard Linklater,2014,10,Luke Buckmaster,The Guardian/BBC Culture,Australia
The White Ribbon,Michael Haneke,2009,1,Luciano Castillo,Cinemateca de Cuba,Cuba
In the Mood for Love,Wong Kar-wai,2000,2,Luciano Castillo,Cinemateca de Cuba,Cuba
"Spring, Summer, Fall, Winter…and Spring",Kim Ki-duk,2003,3,Luciano Castillo,Cinemateca de Cuba,Cuba
Melancholia,Lars von Trier,2011,4,Luciano Castillo,Cinemateca de Cuba,Cuba
Elephant,Gus Van Sant,2003,5,Luciano Castillo,Cinemateca de Cuba,Cuba
Russian Ark,Aleksandr Sokurov,2002,6,Luciano Castillo,Cinemateca de Cuba,Cuba
City of God,Fernando Meirelles and Kátia Lund,2002,7,Luciano Castillo,Cinemateca de Cuba,Cuba
A Prophet,Jacques Audiard,2009,8,Luciano Castillo,Cinemateca de Cuba,Cuba
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,9,Luciano Castillo,Cinemateca de Cuba,Cuba
Inside Out,Pete Docter,2015,10,Luciano Castillo,Cinemateca de Cuba,Cuba
Inside Llewyn Davis,Joel and Ethan Coen,2013,1,Monica Castillo,New York Times Watching,US
Persepolis,Vincent Paronnaud and Marjane Satrapi,2007,2,Monica Castillo,New York Times Watching,US
Fish Tank,Andrea Arnold,2009,3,Monica Castillo,New York Times Watching,US
Pan's Labyrinth,Guillermo Del Toro,2006,4,Monica Castillo,New York Times Watching,US
In the Mood for Love,Wong Kar-wai,2000,5,Monica Castillo,New York Times Watching,US
Spirited Away,Hayao Miyazaki,2001,6,Monica Castillo,New York Times Watching,US
Mad Max: Fury Road,George Miller,2015,7,Monica Castillo,New York Times Watching,US
Attack the Block,Joe Cornish,2011,8,Monica Castillo,New York Times Watching,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,9,Monica Castillo,New York Times Watching,US
The Royal Tenenbaums,Wes Anderson,2001,10,Monica Castillo,New York Times Watching,US
The Secret in Their Eyes,Juan José Campanella,2009,1,Samuel Castro,El Colombiano,Colombia
Before Sunset,Richard Linklater,2004,2,Samuel Castro,El Colombiano,Colombia
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,3,Samuel Castro,El Colombiano,Colombia
Ratatouille,Brad Bird and Jan Pinkava,2007,4,Samuel Castro,El Colombiano,Colombia
Stories We Tell,Sarah Polley,2012,5,Samuel Castro,El Colombiano,Colombia
Pan's Labyrinth,Guillermo Del Toro,2006,6,Samuel Castro,El Colombiano,Colombia
Amores Perros,Alejandro González Iñárritu,2000,7,Samuel Castro,El Colombiano,Colombia
A Separation,Asghar Farhadi,2011,8,Samuel Castro,El Colombiano,Colombia
Minority Report,Steven Spielberg,2002,9,Samuel Castro,El Colombiano,Colombia
Moulin Rouge!,Baz Luhrmann,2001,10,Samuel Castro,El Colombiano,Colombia
Mulholland Drive,David Lynch,2001,1,Justin Chang,Los Angeles Times,US
The Tree of Life,Terrence Malick,2011,2,Justin Chang,Los Angeles Times,US
In the Mood for Love,Wong Kar-wai,2000,3,Justin Chang,Los Angeles Times,US
Boyhood,Richard Linklater,2014,4,Justin Chang,Los Angeles Times,US
Secret Sunshine,Lee Chang-dong,2007,5,Justin Chang,Los Angeles Times,US
Zodiac,David Fincher,2007,6,Justin Chang,Los Angeles Times,US
The Dark Knight,Christopher Nolan,2008,7,Justin Chang,Los Angeles Times,US
The Son,Jean-Pierre and Luc Dardenne,2002,8,Justin Chang,Los Angeles Times,US
Brokeback Mountain,Ang Lee,2005,9,Justin Chang,Los Angeles Times,US
35 Shots of Rum,Claire Denis,2008,10,Justin Chang,Los Angeles Times,US
The Three Burials of Melquiades Estrada,Tommy Lee Jones,2005,1,Enrico Chiesa,AfricaFilms.TV,Senegal
There Will Be Blood,Paul Thomas Anderson,2007,2,Enrico Chiesa,AfricaFilms.TV,Senegal
A Separation,Asghar Farhadi,2011,3,Enrico Chiesa,AfricaFilms.TV,Senegal
Birdman,Alejandro González Iñárritu,2014,4,Enrico Chiesa,AfricaFilms.TV,Senegal
The Blind Swordsman: Zatoichi,Takeshi Kitano,2003,5,Enrico Chiesa,AfricaFilms.TV,Senegal
Mommy,Xavier Dolan,2014,6,Enrico Chiesa,AfricaFilms.TV,Senegal
Dancer in the Dark,Lars von Trier,2000,7,Enrico Chiesa,AfricaFilms.TV,Senegal
Tey,Alain Gomis,2012,8,Enrico Chiesa,AfricaFilms.TV,Senegal
Sweet Sixteen,Ken Loach,2002,9,Enrico Chiesa,AfricaFilms.TV,Senegal
Ezra,Newton I. Aduaka,2007,10,Enrico Chiesa,AfricaFilms.TV,Senegal
No Country For Old Men,Joel and Ethan Coen,2007,1,Cho Seongyong,Freelance film critic,South Korea
Boyhood,Richard Linklater,2014,2,Cho Seongyong,Freelance film critic,South Korea
Mulholland Drive,David Lynch,2001,3,Cho Seongyong,Freelance film critic,South Korea
Almost Famous,Cameron Crowe,2000,4,Cho Seongyong,Freelance film critic,South Korea
"Synecdoche, New York",Charlie Kaufman,2008,5,Cho Seongyong,Freelance film critic,South Korea
Pan's Labyrinth,Guillermo Del Toro,2006,6,Cho Seongyong,Freelance film critic,South Korea
Minority Report,Steven Spielberg,2002,7,Cho Seongyong,Freelance film critic,South Korea
The Social Network,David Fincher,2010,8,Cho Seongyong,Freelance film critic,South Korea
The Tree of Life,Terrence Malick,2011,9,Cho Seongyong,Freelance film critic,South Korea
Memories of Murder,Bong Joon-ho,2003,10,Cho Seongyong,Freelance film critic,South Korea
Mulholland Drive,David Lynch,2001,1,Robbie Collin,The Telegraph,UK
Tropical Malady,Apichatpong Weerasethakul,2004,2,Robbie Collin,The Telegraph,UK
Spirited Away,Hayao Miyazaki,2001,3,Robbie Collin,The Telegraph,UK
Under the Skin,Jonathan Glazer,2013,4,Robbie Collin,The Telegraph,UK
Hard to Be a God,Aleksey German,2013,5,Robbie Collin,The Telegraph,UK
Mad Max: Fury Road,George Miller,2015,6,Robbie Collin,The Telegraph,UK
There Will Be Blood,Paul Thomas Anderson,2007,7,Robbie Collin,The Telegraph,UK
Lost in Translation,Sofia Coppola,2003,8,Robbie Collin,The Telegraph,UK
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,2006,9,Robbie Collin,The Telegraph,UK
"You, The Living",Roy Andersson,2007,10,Robbie Collin,The Telegraph,UK
